,Outcome,HomeTeam,AwayTeam,HomeScores,AwayScores,Date,Month,Year,HomeHalfScores,HomeScrums,HomePenalties,AwayHalfScores,AwayScrums,AwayPenalties
263,loose,South Sydney,Wests Tigers,4,44,28/05/2015,5,2006,0,7,2,18,13,7
264,win,St George Illawarra,Parramatta,8,1,2/06/2015,6,2006,0,3,2,0,8,4
265,win,Bulldogs,Newcastle,38,22,3/06/2015,6,2006,16,9,5,16,4,6
266,win,Canberra,South Sydney,24,22,3/06/2015,6,2006,18,9,7,6,7,5
267,win,Melbourne,Sydney,20,16,3/06/2015,6,2006,12,10,4,4,8,5
268,loose,Penrith,Manly Warringah,22,29,4/06/2015,6,2006,10,1,6,20,3,3
269,loose,Warriors,Brisbane,18,23,4/06/2015,6,2006,12,7,1,18,8,1
270,win,Wests Tigers,North Queensland,24,14,4/06/2015,6,2006,18,6,7,4,8,6
271,win,Manly Warringah,Wests Tigers,16,12,9/06/2015,6,2006,6,4,4,6,4,5
272,loose,North Queensland,Cronulla,4,26,10/06/2015,6,2006,4,6,2,8,10,4
273,loose,Penrith,St George Illawarra,10,20,10/06/2015,6,2006,6,3,12,14,9,5
274,win,South Sydney,Brisbane,34,14,10/06/2015,6,2006,16,3,5,10,6,4
275,loose,Parramatta,Melbourne,22,34,11/06/2015,6,2006,12,3,4,20,4,3
276,loose,Sydney,Warriors,12,22,11/06/2015,6,2006,6,5,6,10,6,6
277,loose,Bulldogs,Canberra,26,28,12/06/2015,6,2006,10,8,4,16,3,2
278,loose,Brisbane,St George Illawarra,16,18,16/06/2015,6,2006,8,12,7,12,9,3
279,win,Cronulla,Manly Warringah,15,12,17/06/2015,6,2006,6,8,7,8,2,4
280,win,Parramatta,South Sydney,30,10,17/06/2015,6,2006,16,8,7,4,4,3
281,win,Wests Tigers,Sydney,26,14,17/06/2015,6,2006,12,6,3,10,9,3
282,win,Bulldogs,North Queensland,20,12,18/06/2015,6,2006,8,10,2,6,5,7
283,win,Melbourne,Canberra,22,12,18/06/2015,6,2006,22,8,6,2,6,10
284,win,Warriors,Newcastle,30,18,18/06/2015,6,2006,14,6,5,6,8,8
285,win,Melbourne,Bulldogs,16,12,23/06/2015,6,2006,0,8,6,4,5,7
286,loose,Newcastle,Cronulla,16,26,24/06/2015,6,2006,10,4,3,0,4,5
287,win,Penrith,Wests Tigers,24,20,24/06/2015,6,2006,18,8,9,8,5,4
288,win,St George Illawarra,North Queensland,34,14,24/06/2015,6,2006,10,8,3,8,5,8
289,win,Canberra,Sydney,42,10,25/06/2015,6,2006,18,3,5,4,5,8
290,loose,Manly Warringah,Brisbane,10,16,25/06/2015,6,2006,0,6,4,10,8,6
291,loose,South Sydney,Warriors,0,66,25/06/2015,6,2006,0,6,1,32,8,2
292,loose,Manly Warringah,Newcastle,12,26,30/06/2015,6,2006,6,4,8,12,7,5
293,loose,Canberra,Parramatta,12,18,1/07/2015,7,2006,6,10,8,10,10,10
294,win,North Queensland,South Sydney,16,14,1/07/2015,7,2006,6,12,6,10,8,2
295,win,Warriors,Penrith,28,22,1/07/2015,7,2006,10,7,2,14,8,7
296,win,Brisbane,Cronulla,26,12,2/07/2015,7,2006,16,6,5,6,5,2
297,loose,Wests Tigers,Bulldogs,10,32,2/07/2015,7,2006,0,4,10,20,7,9
298,win,Melbourne,Brisbane,10,4,7/07/2015,7,2006,6,6,3,0,7,5
299,win,Parramatta,Newcastle,46,12,8/07/2015,7,2006,20,4,2,6,6,5
300,win,Penrith,Canberra,24,12,8/07/2015,7,2006,10,8,6,0,6,4
301,loose,Sydney,Manly Warringah,16,33,8/07/2015,7,2006,0,6,7,14,6,6
302,win,Bulldogs,Warriors,22,18,9/07/2015,7,2006,12,8,3,18,5,3
303,loose,Cronulla,Wests Tigers,10,22,9/07/2015,7,2006,8,10,6,6,11,4
